
Bolenum,BLN,1897
Smoke,SMOKE,1898
YOYOW,YOYOW,1899
Growers International,GRWI,1900
MyBit Token,MYB,1902
Hshare,HSR,1903
VeChain,VEN,1904
TrueFlip,TFL,1905
XTD Coin,XTD,1907
Nebulas,NAS,1908
ATMCoin,ATMC,1910
Dalecoin,DALC,1912
Protean,PRN,1913
OX Fina,OX,1914
AdCoin,ACC,1915
BiblePay,BBP,1916
bitqy,BQ,1917
Achain,ACT,1918
NamoCoin,NAMO,1920
SIGMAcoin,SIGMA,1921
Monoeci,XMCC,1922
Tierion,TNT,1923
Waltonchain,WTC,1925
BROTHER,BRAT,1926
Ulatech,ULA,1927
Primas,PST,1930
Opus,OPT,1931
Suretly,SUR,1933
Loopring,LRC,1934
LiteCoin Ultra,LTCU,1935
Po.et,POE,1937
Fujinto,NTO,1938
StarCredits,STRC,1942
Kronecoin,KRONE,1943
Cyder,CYDER,1945
Masternodecoin,MTNC,1946
Monetha,MTH,1947
Aventus,AVT,1948
Agrello,DLT,1949
Hive Project,HVN,1950
Vsync,VSX,1951
Magnetcoin,MAGN,1952
Moeda Loyalty Points,MDA,1954
Neblio,NEBL,1955
VIVO,VIVO,1956
TRON,TRX,1958
Oceanlab,OCL,1959
imbrex,REX,1961
BuzzCoin,BUZZ,1962
Credo,CREDO,1963
DROXNE,DRXNE,1964
Bowhead,AHT,1965
Decentraland,MANA,1966
Indorse Token,IND,1967
XPA,XPA,1968
Sociall,SCL,1969
ATBCoin,ATB,1970
iQuant,IQT,1971
Ethereum Dark,ETHD,1973
Propy,PRO,1974
ChainLink,LINK,1975
Blackmoon,BMC,1976
Wi Coin,WIC,1979
Elixir,ELIX,1980
Billionaire Token,XBL,1981
Kyber Network,KNC,1982
VIBE,VIBE,1983
Substratum,SUB,1984
Chronologic,DAY,1985
CHIPS,CHIPS,1986
CryptoInsight,TKR,1987
Lampix,PIX,1988
COSS,COSS,1989
BitDice,CSNO,1990
Rivetz,RVT,1991
Kin,KIN,1993
Interzone,ITZ,1994
Target Coin,TGT,1995
SALT,SALT,1996
India Coin,INDIA,1997
Ormeus Coin,ORME,1998
Kolion,KLN,1999
Musiconomi,MCI,2000
ColossusXT,COLX,2001
TrezarCoin,TZC,2002
HODL Bucks,HDLB,2004
Obsidian,ODN,2005
Cobinhood,COB,2006
Regalcoin,REC,2007
MSD,MSD,2008
Bismuth,BIS,2009
Cardano,ADA,2010
Tezos (Pre-Launch),XTZ,2011
Voise,VOISE,2012
Infinity Economics,XIN,2013
ATMChain,ATM,2015
Macro,MCR,2016
KickCoin,KICK,2017
EncryptoTel [ETH],ETT,2018
Viberate,VIB,2019
RChain,RHOC,2021
Internxt,INXT,2022
WhaleCoin,WHL,2024
FLiK,FLIK,2025
EthBet,EBET,2026
Cryptonex,CNX,2027
Sand Coin,SND,2028
Wild Crypto,WILD,2029
REAL,REAL,2030
Hubii Network,HBT,2031
Crystal Clear ,CCT,2032
BridgeCoin,BCO,2033
Everex,EVX,2034
PayPie,PPP,2036
AirToken,AIR,2037
PoSToken,POS,2038
Senderon,SDRN,2039
ALIS,ALIS,2040
BitcoinZ,BTCZ,2041
HelloGold,HGT,2042
Cindicator,CND,2043
Enigma,ENG,2044
Coimatic 3.0,CTIC3,2045
Bastonet,BSN,2046
Zeusshield,ZSC,2047
Ethereum Cash,ECASH,2048
CORION,COR,2049
Swisscoin,SIC,2050
Authorship,ATS,2051
Royal Kingdom Coin,RKC,2053
Akuya Coin,AKY,2054
ExchangeN,EXN,2055
PiplCoin,PIPL,2056
Eidoo,EDO,2057
AirSwap,AST,2058
BitSoar,BSR,2059
Change,CAG,2060
BlockMason Credit Protocol,BCPT,2061
Aion,AION,2062
Tracto,TRCT,2063
Maecenas,ART,2064
XGOX,XGOX,2065
Everus,EVR,2066
Dutch Coin,DUTCH,2067
Open Trading Network,OTN,2069
DomRaider,DRT,2070
Request Network,REQ,2071
SegWit2x,B2X,2072
Ethereum Gold,ETG,2074
Blue Protocol,BLUE,2076
Runners,RUNNERS,2077
LIFE,LIFE,2078
Hedge,HDG,2079
Modum,MOD,2080
Ambrosus,AMB,2081
ICOS,ICOS,2082
Bitcoin Gold,BTG,2083
KuCoin Shares,KCS,2087
EXRNchain,EXRN,2088
ClearPoll,POLL,2089
LATOKEN,LA,2090
Exchange Union,XUC,2091
Nuls,NULS,2092
Bitcoin Red,BTCRED,2093
Paragon,PRG,2094
BOScoin,BOS,2095
Ripio Credit Network,RCN,2096
Xios,XIOS,2097
Mercury Protocol,GMT,2098
ICON,ICX,2099
JavaScript Token,JS,2100
Ethereum Lite,ELITE,2101
Intelligent Trading Foundation,ITT,2103
iEthereum,IETH,2104
Pirl,PIRL,2105
Xenon,XNN,2106
LUXCoin,LUX,2107
eREAL,EREAL,2108
Network Token,NTWK,2109
Dovu,DOVU,2110
Red Pulse,RPX,2112
BT2 [CST],BT2,2114
PlayerCoin,PLACO,2115
Roofs,ROOFS,2117
FAPcoin,FAP,2118
BTCMoon,BTCM,2119
Etherparty,FUEL,2120
Ellaism,ELLA,2122
Vulcano,VULC,2123
Qvolta,QVT,2124
Russian Miner Coin,RMC,2125
FlypMe,FYP,2126
eBitcoin,EBTC,2127
Bitbase,BTBc,2129
Enjin Coin,ENJ,2130
Power Ledger,POWR,2132
Grid+,GRID,2134
Revain,R,2135
ATLANT,ATL,2136
Electroneum,ETN,2137
High Gain,HIGH,2138
MinexCoin,MNX,2139
SONO,SONO,2140
FORCE,FOR,2142
Streamr DATAcoin,DATA,2143
SHIELD,XSH,2144
Pure,PURE,2146
ELTCOIN,ELTCOIN,2147
Desire,DSR,2148
Unikoin Gold,UKG,2149
Credence Coin,CRDNC,2150
